UF,Sexo,Capacidade Total,Tipo de Gestão,Concebido ou Adaptado,Consultório Médico,Total Provisórios Masculinos,Total Provisórios Femininos,Total Sentenciados Masculinos,Total Sentenciados Femininos,Branca Masculino,Negra Masculino,Parda Masculino,Amarela Masculino,Indígena Masculino,Branca Feminino,Negra Feminino,Parda Feminino,Amarela Feminino,Indígena Feminino,Solteiro/a Masculino,União estável/ amasiado Masculino,Casado/a Masculino,Separado/a judicialmente Masculino,Divorciado/a Masculino,Viúvo/a Masculino,Solteiro/a Feminino,União estável/ amasiado Feminino,Casado/a Feminino,Separado/a judicialmente Feminino,Divorciado/a Feminino,Viúvo/a Feminino,18 a 24 anos Masculino,25 a 29 anos Masculino,30 a 34 anos Masculino,35 a 45 anos Masculino,46 a 60 anos Masculino,61 a 70 anos Masculino,Mais de 70 anos Masculino,18 a 24 anos Feminino,25 a 29 anos Feminino,30 a 34 anos Feminino,35 a 45 anos Feminino,46 a 60 anos Feminino,61 a 70 anos Feminino,Mais de 70 anos Feminino
ac,masculino,178.0,pública,concebido,não,0.0,0.0,0.0,0.0,42.0,69.0,640.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,237.0,53.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,masculino,80.0,pública,adaptado,não,7.0,0.0,64.0,0.0,9.0,6.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,23.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,masculino,154.0,pública,concebido,sim,12.0,0.0,138.0,0.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,56.0,42.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,masculino,0.0,desconhecido,desconhecido,não,0.0,0.0,1103.0,0.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,feminino,85.0,pública,concebido,sim,0.0,71.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,30.0,26.0,22.0,9.0,0.0,0.0
ac,masculino,224.0,pública,concebido,sim,192.0,0.0,350.0,0.0,9.0,21.0,511.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,272.0,230.0,38.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,154.0,125.0,108.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,masculino,120.0,pública,concebido,sim,59.0,0.0,178.0,2.0,55.0,48.0,132.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,89.0,37.0,43.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,86.0,27.0,40.0,64.0,15.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,masculino,500.0,pública,adaptado,não,0.0,0.0,292.0,0.0,28.0,20.0,242.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,67.0,33.0,33.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,masculino,125.0,pública,concebido,sim,1.0,0.0,174.0,0.0,13.0,23.0,136.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,61.0,17.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,42.0,26.0,22.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,misto,158.0,pública,concebido,sim,55.0,0.0,146.0,7.0,23.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,17.0,18.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,masculino,588.0,pública,concebido,sim,236.0,0.0,238.0,0.0,49.0,138.0,247.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,150.0,70.0,28.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,80.0,60.0,40.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac,masculino,46.0,pública,adaptado,não,38.0,0.0,28.0,2.0,0.0,1.0,65.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,49.5,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,14.0,6.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
al,masculino,669.0,pública,concebido,sim,17.0,0.0,813.0,0.0,160.0,120.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,153.0,123.0,12.0,78.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,229.0,214.0,131.0,59.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
