Invite: UF,1.1. Estabelecimento originalmente destinado a pessoa privadas de liberdade do sexo:
AC,Masculino
AC,Masculino
AC,Masculino
AC,Masculino
AC,Feminino
AC,Masculino
AC,Masculino
AC,Masculino
AC,Masculino
AC,Misto
AC,Masculino
AC,Masculino
AL,Masculino
AL,Masculino
AL,Misto
AL,Misto
AL,Masculino
AL,Feminino
AL,Masculino
AL,Masculino
AL,Masculino
AM,Masculino
AM,Masculino
AM,Masculino
AM,Masculino
AM,Masculino
AM,Feminino
AM,Masculino
AM,Feminino
AM,Masculino
AM,Feminino
AM,Misto
AM,Masculino
AM,Masculino
AM,Misto
AM,Misto
AM,Masculino
AM,Misto
AM,Misto
AM,Masculino
AM,Masculino
AP,Masculino
AP,Masculino
AP,Misto
AP,Feminino
AP,Masculino
AP,Masculino
AP,Masculino
AP,Masculino
BA,Masculino
BA,Masculino
BA,Masculino
BA,Masculino
BA,Misto
BA,Masculino
BA,Misto
BA,Masculino
BA,Misto
BA,Masculino
BA,Masculino
BA,Feminino
BA,Misto
BA,Masculino
BA,Masculino
BA,Misto
BA,Masculino
BA,Masculino
BA,Masculino
BA,Misto
BA,Masculino
BA,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Misto
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Misto
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Misto
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Masculino
CE,Misto
CE,Masculino
CE,Misto
CE,Masculino
